# REV = 1

# PAC CONTROL TAG DATABASE DUMP
# ----------------------------------------------------------------
# NAME :         C:\AIS_OPTO_APPLICATION\TWRAP-IN-L12_SSS\TWRAP-IN-L12_SSS.idb
# VERSION :      R9.1a
# TIME/DATE :    12:21:0 10/1/2024
# 
# INSTRUCTIONS : This file gets written with the corresponding IDB file.
#                It is not read by PAC Control. It may be used by other programs to 
#                get basic information about the tag database.
#                
#                Each tag (e.g. variables, I/O units and points, charts, etc.) is 
#                listed here. 
#                
#                More columns or tag types (e.g. TAG2) may be added in the future.
#                
#                
# BITMASK INFO:  Here is the list of bitmasks used by PAC Control.
#                More than one bit may be set for a given tag. Currently, the only types
#                that can have more than one bit set at a time are digital points with 
#                features (e.g. digital input with counter) or a pointer.
#                
#                BITMASK 0
#                -------------------------------------------
#                DIN_SMART                        0x40000000
#                DIN_COUNTER                      0x00000001
#                DIN_COUNTER_QUADRATURE           0x00000002
#                DOUT_SMART                       0x10000000
#                DOUT_TPO                         0x00010000
#                DIN_ON_PULSE_MEAS                0x00000010
#                DIN_OFF_PULSE_MEAS               0x00000020
#                DIN_FREQUENCY                    0x00000040
#                DIN_PERIOD                       0x00000080
#                DIN_ON_TIME_TOTALIZER            0x00000100
#                DIN_OFF_TIME_TOTALIZER           0x00000200
#                
#                BITMASK 1
#                -------------------------------------------
#                AIN                              0x00000001
#                AOUT                             0x00000002
#                PID_LOOP    (mistic)             0x00000200
#                PID_LOOP_2  (OptoMMP)            0x00000004
#                DIGITAL_EVENT_REACTION           0x00000008
#                ANALOG_EVENT_REACTION            0x00000010
#                EVENT_REACTION_GROUP             0x00000080
#                CHART                            0x00000100
#                
#                BITMASK 2
#                -------------------------------------------
#                BOARD_SMART_DIGITAL              0x00000002
#                BOARD_REMOTE_SIMPLE_DIGITAL      0x00000004
#                BOARD_SMART_ANALOG               0x00000008
#                BOARD_SMART_ANALOG_B200          0x00001000
#                BOARD_SMART_DIGITAL_SNAP         0x00002000
#                BOARD_SMART_ANALOG_SNAP          0x00004000
#                BOARD_SMART_DIGITAL_B100         0X00010000
#                BOARD_REMOTE_SIMPLE_DIGITAL_SNAP 0X00020000
#                BOARD_DIGITAL_SNAP_64            0x00040000
#                BOARD_MIXED_SNAP_64              0x00080000
#                BOARD_DIGITAL_SNAP_UIO_64        0x00100000
#                BOARD_MIXED_SNAP_UIO_64          0x00200000
#                BOARD_MIXED_SNAP_UIO_AD64        0x00400000
#                BOARD_MIXED_SNAP_SIO_AD64        0x00800000
#                BOARD_SNAP_PAC_R1                0x10000000
#                BOARD_SNAP_PAC_R2                0x20000000
#                BOARD_GENERIC_OPTOMMP            0x40000000
# 
#                BITMASK 3
#                -------------------------------------------
#                VARIABLE_INTEGER                 0x00000008
#                VARIABLE_FLOAT                   0x00000010
#                VARIABLE_TIMER                   0x00000020
#                VARIABLE_STRING                  0x00000040
#                VARIABLE_POINTER                 0x80000000
#                TABLE_INTEGER                    0x00000100
#                TABLE_FLOAT                      0x00000200
#                TABLE_STRING                     0x00000800
#                TABLE_POINTER                    0x00001000
#                VARIABLE_UP_TIMER                0X00002000
#                VARIABLE_INTEGER_64              0X00004000
#                TABLE_INTEGER_64                 0X00010000
#                TABLE_NULL                       0X00020000
#                VARIABLE_STREAM                  0x00040000




#  (Please note that the TAG1 definition may have columns added in the future.
#   Any new columns will be added to the right of the existing ones.)
#   This file should be parsed accordingly.)

# TAG1,NAME,ID,BITMASK_0,BITMASK_1,BITMASK_2,BITMASK_3,TABLE_LENGTH,STRING_WIDTH

TAG1,Shutter_Closed_Status                             ,196  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Shutter_Insert                                    ,25   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Shutter_Insert_Pri                                ,86   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Shutter_Open_Status                               ,221  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Turn_Up_AB                                        ,89   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Weight_Alarm_OP                                   ,235  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z10_SP                                            ,130  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z11_SP                                            ,131  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z12_SP                                            ,132  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z13_SP                                            ,133  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z14_SP                                            ,134  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z15_SP                                            ,135  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z16_SP                                            ,136  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z17_SP                                            ,137  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z18_SP                                            ,138  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z19_SP                                            ,139  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z1_SP                                             ,121  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z20_SP                                            ,140  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z21_SP                                            ,141  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z22_SP                                            ,142  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z23_SP                                            ,143  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z24_SP                                            ,144  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z25_SP                                            ,145  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z26_SP                                            ,146  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z27_SP                                            ,147  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z28_SP                                            ,148  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z29_SP                                            ,149  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z2_SP                                             ,122  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z30_SP                                            ,150  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z31_SP                                            ,151  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z32_SP                                            ,152  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z33_SP                                            ,153  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z34_SP                                            ,154  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z35_SP                                            ,155  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z36_SP                                            ,156  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z37_SP                                            ,157  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z38_SP                                            ,158  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z39_SP                                            ,159  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z3_SP                                             ,123  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z40_SP                                            ,160  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z41_SP                                            ,161  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z42_SP                                            ,162  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z43_SP                                            ,163  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z44_SP                                            ,164  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z45_SP                                            ,165  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z46_SP                                            ,166  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z47_SP                                            ,167  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z48_SP                                            ,168  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z49_SP                                            ,169  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z4_SP                                             ,124  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z50_SP                                            ,170  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Z51_SP                                            ,171  ,10000000,00000000,00000000,00000000,0    ,0   
