:IngredientName,IngredientType,Unit,Recipe
:Names,,"S1_AirProfile","Profile"
"S1_AP_97",Analog,"S1_AP_97",-0.007660865784
"S1_AP_98",Analog,"S1_AP_98",-0.0007640123367
"S1_AP_99",Analog,"S1_AP_99",-0.0009024143219
"S1_AP_100",Analog,"S1_AP_100",-0.007291316986
"S1_AP_101",Analog,"S1_AP_101",-0.006654858589
"S1_AP_102",Analog,"S1_AP_102",-0.006206393242
"S1_AP_103",Analog,"S1_AP_103",-0.00278031826
"S1_AP_104",Analog,"S1_AP_104",-0.003182411194
"S1_AP_105",Analog,"S1_AP_105",-0.006068110466
"S1_AP_106",Analog,"S1_AP_106",-0.003720998764
"S1_AP_107",Analog,"S1_AP_107",-0.0001635551453
"S1_AP_108",Analog,"S1_AP_108",-0.000782251358
"S1_AP_109",Analog,"S1_AP_109",-0.001577377319
"S1_AP_110",Analog,"S1_AP_110",2.837181091e-005
"S1_AP_111",Analog,"S1_AP_111",0.0007370710373
"S1_AP_112",Analog,"S1_AP_112",-0.003216266632
"S1_AP_113",Analog,"S1_AP_113",-0.002193570137
"S1_AP_114",Analog,"S1_AP_114",-0.003539562225
"S1_AP_115",Analog,"S1_AP_115",-0.002373456955
"S1_AP_116",Analog,"S1_AP_116",-0.003518342972
"S1_AP_117",Analog,"S1_AP_117",-0.004142522812
"S1_AP_118",Analog,"S1_AP_118",-0.003556370735
"S1_AP_119",Analog,"S1_AP_119",-0.001311659813
"S1_AP_120",Analog,"S1_AP_120",-0.001987338066
"S1_AP_121",Analog,"S1_AP_121",-0.0009814500809
"S1_AP_122",Analog,"S1_AP_122",-0.0008660554886
"S1_AP_123",Analog,"S1_AP_123",0.003257513046
"S1_AP_124",Analog,"S1_AP_124",0.001681566238
"S1_AP_125",Analog,"S1_AP_125",-6.794929504e-006
"S1_AP_126",Analog,"S1_AP_126",0.004784822464
"S1_AP_127",Analog,"S1_AP_127",0.004527330399
"S1_AP_128",Analog,"S1_AP_128",0.002683758736
"S1_AP_129",Analog,"S1_AP_129",0.000323176384
"S1_AP_130",Analog,"S1_AP_130",-0.0004303455353
"S1_AP_131",Analog,"S1_AP_131",-0.001593828201
"S1_AP_132",Analog,"S1_AP_132",-0.001929163933
"S1_AP_133",Analog,"S1_AP_133",-0.001881122589
"S1_AP_134",Analog,"S1_AP_134",-0.004095077515
"S1_AP_135",Analog,"S1_AP_135",0.0007671117783
"S1_AP_136",Analog,"S1_AP_136",-0.001921057701
"S1_AP_137",Analog,"S1_AP_137",-0.004333376884
"S1_AP_138",Analog,"S1_AP_138",-0.008016347885
"S1_AP_139",Analog,"S1_AP_139",-0.005977988243
"S1_AP_140",Analog,"S1_AP_140",-0.004516720772
"S1_AP_141",Analog,"S1_AP_141",-0.0058811903
"S1_AP_142",Analog,"S1_AP_142",-0.003209114075
"S1_AP_143",Analog,"S1_AP_143",-0.005844712257
"S1_AP_144",Analog,"S1_AP_144",-0.004043221474
"S1_AP_145",Analog,"S1_AP_145",-0.0005217790604
"S1_AP_146",Analog,"S1_AP_146",8.952617645e-005
"S1_AP_147",Analog,"S1_AP_147",0.0005648136139
"S1_AP_148",Analog,"S1_AP_148",-0.002578735352
"S1_AP_149",Analog,"S1_AP_149",-0.004529118538
"S1_AP_150",Analog,"S1_AP_150",-0.005470514297
"S1_AP_151",Analog,"S1_AP_151",-0.002877354622
"S1_AP_152",Analog,"S1_AP_152",-0.003153681755
"S1_AP_153",Analog,"S1_AP_153",-0.000714302063
"S1_AP_154",Analog,"S1_AP_154",-0.000358581543
"S1_AP_155",Analog,"S1_AP_155",-0.0006337165833
"S1_AP_156",Analog,"S1_AP_156",-0.001614809036
"S1_AP_157",Analog,"S1_AP_157",-0.00216281414
"S1_AP_158",Analog,"S1_AP_158",-0.004634618759
"S1_AP_159",Analog,"S1_AP_159",-0.002104043961
"S1_AP_160",Analog,"S1_AP_160",-0.004197359085
"S1_AP_161",Analog,"S1_AP_161",-0.001661062241
"S1_AP_162",Analog,"S1_AP_162",-0.003833651543
"S1_AP_163",Analog,"S1_AP_163",-0.003947496414
"S1_AP_164",Analog,"S1_AP_164",-0.001706242561
"S1_AP_165",Analog,"S1_AP_165",-0.003529191017
"S1_AP_166",Analog,"S1_AP_166",-0.004220724106
