:IngredientName,IngredientType,Unit,Unit,Recipe
:Names,,"Config","Now","36_STD"
"Die Bolt 71",Message,"apc_mDB_Label71\Config","apc_mDB_Label71\Now","0"
"Die Bolt 72",Message,"apc_mDB_Label72\Config","apc_mDB_Label72\Now","0"
"Die Bolt 73",Message,"apc_mDB_Label73\Config","apc_mDB_Label73\Now","0"
"Die Bolt 74",Message,"apc_mDB_Label74\Config","apc_mDB_Label74\Now","0"
"Die Bolt 75",Message,"apc_mDB_Label75\Config","apc_mDB_Label75\Now","0"
"Die Bolt 76",Message,"apc_mDB_Label76\Config","apc_mDB_Label76\Now","0"
"Die Bolt 77",Message,"apc_mDB_Label77\Config","apc_mDB_Label77\Now","0"
"Die Bolt 78",Message,"apc_mDB_Label78\Config","apc_mDB_Label78\Now","0"
"Die Bolt 79",Message,"apc_mDB_Label79\Config","apc_mDB_Label79\Now","0"
"Die Bolt 80",Message,"apc_mDB_Label80\Config","apc_mDB_Label80\Now","0"
"Die Bolt 81",Message,"apc_mDB_Label81\Config","apc_mDB_Label81\Now","0"
"Die Bolt 82",Message,"apc_mDB_Label82\Config","apc_mDB_Label82\Now","0"
"Die Bolt 83",Message,"apc_mDB_Label83\Config","apc_mDB_Label83\Now","0"
"Die Bolt 84",Message,"apc_mDB_Label84\Config","apc_mDB_Label84\Now","0"
"Die Bolt 85",Message,"apc_mDB_Label85\Config","apc_mDB_Label85\Now","0"
"Die Bolt 86",Message,"apc_mDB_Label86\Config","apc_mDB_Label86\Now","0"
